cleaned_comment,translate
"malu",""
"kasi mahasiswa oeralat 2bemnya oesangon 9 naga korban temen temennya","terjemahkan id ke en: kasi mahasiswakan id ke en: kasi mahasiswa"
"judul taekbrgak sesuai kenyataanbrkalo jokowi salah 1 orang brsiapa diuntungkanbrya partai nya anggota dewa amp kepala2 daerahnyabryg fair a href a href","terjemahkan id ke en: id ke en: id ke en: id ke en:"
"gelap era jokowi","jokowi jokowi jokowi jokowi jokowi"
"pimpin dengar bicara","terjemahkan id ke en: pimpin dengar bicara dengar bicara dengar bicara dengar bicara dengar"
"indonesia gelap rakyat terpinggirkanterang benderang kuasa usaha kaya rayapendidikan mahal bijak tabrak penting","terjemahkan id ke en: indonesia gelap rakyat terpinggirkan terjemahkan id ke"
"jadi heran smenjak koruptor tangkap knpa demo","aja sih.... aja sih terjemahkan"
"maling lindung cuy"," terjemahkan id ke en:"
"horrreeeeyyyyyy","yyyyyyyyyyyyyyyyyyy"
"di akhirat nnti prabowo sambut malaikat ridwan jaga surga pasuk surga tp prabowo masuk surga krn jokowi neraka akibat kemaksiatanya slama duniaprabowo pd malaikat ridwan brsama tema neraka tuhan mmbiarkan prabowo mngajak tema nya surga pak jokowi syukur krn milik teman dn tulus prabowo","kan id ke en: di akhiratkan id ke en: di akhiratkan"
"arti kemarin cerah sinar gelap darimana ambil banding buat standar masyarakat paham erti masyarakat tanda2 gelap mendung maklum musim hujan gitu","terjemahkan id ke en:kan id ke en:kan id ke en:"
"indonesia sdh gelapgara2 mulyonoyg tdkidot","terjemahkan id ke en: indonesia sdh gelapgara2  terjemahkan id"
"sangat wajar demo mhsw indonesia gelapkorupsi merajakelabrbrpemborong jalan tdk bayar korupsi 193 t dstdstdst","terjemahkan id ke en: sangat wajar demo mhsw indonesia gelapdst"
"emang gampang cari kerja negri","terjemahkan id ke en:"
"rakyat mn marah","aja :)"
"dol dolo soto","aja dong..........  ke"
"njirr apaa gua salah liat apaa gimana slesai jokowi bilang salah prabowo trus kamera ngarah prabowo gua liat dri gera mulut prabowo bilang quot habis quot","terjemahkan id ke en: njirr terjemahkan id ke en: njir"
"bmahasewa robot yang nyawa tak punya harga dirib","aaaaa terjemahkan id ke en: bmaha"
"ujang komaruddin ingat quotorang lempengquot nyata kubu to","terjemahkan id ke en: ujang komaruddin komaruddin terjemah"
"ini demo dukung kroptor dn pagar laut","terjemahkan id ke en: ini demo terjemahkan id ke en: ini demo"
"mang biangkeladi sibangsat mulyono kagak ade bae2nye 10 dampaknye y","terjemahkan id ke en: mang biangkeladi terjemahkan id"
"para menteri nya sandera korupsi gelap optimisme dibagun trust rakyat perintah titik nadir","terjemahkan id ke en: para menteri nya terjemahkan id ke en:"
"indonesia gelap ndasmu gelap kuliah sono biar terang","terjemahkan id ke en: indonesia gelap ndasmu terang terang terang terang terang"
"benar","terjemahkan id ke en: benar benar benar benar benar benar benar benar benar benar"
"ndasmu","mu terjemahkan id ke en: ndasmu terjemahkan id ke"
"mbelgedez dr ruu ampas aset koruptor aj diemin aj demo habis2an biar sah","terjemahkan id ke en: mbelgedezkan terjemahkan id ke en"
"ngapain nyakahin p prabiwo o hakiwi sadar salah mah duri juta dmsendiri","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"akar kacau negeri hutang lemah kpk rusa konstitusi mulyono kroni nya wowok gabung kabinet nya mulyono umpan mulyono food estate pesawat bekas kutik","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"yess bansos 500t jokowi alat politik kaya","terjemahkan id ke en: yess kan id ke en: yess"
"jangan ama jendral pdip ku hancur negri mahasiswaseperti jaman bungkarno","terjemahkan id ke en:  terjemahkan id ke en: "
"padahal prabowo baru 100hari 10taun kritik habis habis hh","hhhhhhhhhhhhhhhhhhh"
"mas joko wkwk","wkwkwkwkwkwkwkwkwk"
"emang jokowi salah","jokowi salah jokowi salah."
"jangan harap brother ku harap tiadapeople power solusi serakah pimpin negara","harap harap harap harap harap harap harap "
"pak prabowo nggak salah jokowi masalah","..................."
"pokok nyalahin jokowi","..................."
"makin sedih lewat anies baswedan pimpin"," terjemahkan id ke en: terjemahkan id ke en: "
"sudah revolusi","terjemahkan id ke en: sudah revolusi: sudah revolusikan id ke en:"
"baru tahu negara kita kok jadi beginin cipta alam marah kaya alam untuk bancaan para kuasa negara hukum umur hidup dan miskin balas","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"mahasewa",".com terjemahkan id ke en: mahasewasewasewase"
"terlalu bangga diripresiden","terjemahkan id ke en:  terjemahkan id ke en:kan"
"baser 58 bayar panas demo mahasiswa","aja................"
"bagus","bagus terjemahkan id ke en: bagus bagus bagus bagus bagus. bagus"
"halah g g gubris","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"prabowo guru jokowi lanjut perintah jokowi hasil kalah ato prabowo lengser","lengser ato lengser ato lengser ato "
"pasti orang2 demo banyak puasa saum","aja..............."
"gera golong ronta papua hrs padam","ambon ronta papua hrs padam ambon ronta"
"nah ini mafia migas aksi mulyono belakang layar","migas terjemahkan id ke en: terjemahkan id ke en:"
"hukum tanam petikkarmapala"," terjemahkan id ke en: hukum tanam petikkarmapala terjemah"
"gebrak omon2 dpanv doang 100","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"prabowo lupa sdh ber ikrar hidup jokowi jelas kn gk mihak rky","agus agus agus agus agus agus "
"sangat wakil ayo ganyang jokowi","jokowi jokowi jokowi jokowi jokowi"
"indonesia ku tahan demo semangat prabowo cari profokator demo nyabrsalam kalimantan utara","terjemahkan id ke en: indonesia ku tahan demo semangat prabowo terjemahkan id"
"demo biak kerok modal beli nasi bungkus demo nasi bungkus cepat monyet dengar makan pisang cepat turun pohon","terjemahkan id ke en:kan id ke en:kan id ke en:"
"demo mulu demonstrasi buta mata buta hati"," terjemahkan id ke en: demo mulu demo mulu demo mulu"
"kapan maju negara inibrkalau demo brmustinya mikirbrjangan adu domba tanggung jawabbringatbrmemimpin rumah tangga butuh waktubrapalagi pimpin negara","terjemahkan id ke en: kapan maju negara inikan id ke en:kan"
"semangat mahasiswa",""
"moga pa presiden lindung alloh swt mahasiswa goblog gen ajar bener adab bhy sdm bangsa","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"perintah program tersebutoknum mahasiswa tolol pemikiranya kenya perintah ppoya poya besar anggar demo pro rakyat masyarakat ri wakil pikir piciktolong perintah usut tuntas belakang dalang 24 kalah rusak nkri","terjemahkan id ke en: perintah program tersebutkan id ke en: perintah program tersebut"
"seru lengser prabowo gera makartangkap pentol2nya lolos"," terjemahkan id ke en: seru lengserkankan id ke"
"gelap2 mata aja gelap per basmi koroptor kmu bilang gelap2 otak mu aja gelap","terjemahkan id ke en: gelap2 mata aja gelap terjemahkan id"
"ga ada jalan lain kalau prabowo ga bisa penjara jokowi mending lengser","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"terlalu buru buru lengser bpk prabowo jokowi jabat diam mahasiswa bayar lengser bpk prabowi si gibran presiden kaya nya anggar didik alas tunggu kawan 2 3 thn","kan id ke en: terlalu buru buru kan id ke en: terlalu "
"maju presiden maju baik sikat abis koruptor","terjemahkan id ke en: maju presiden maju presiden maju presiden maju presiden maju presiden maju"
"klo prabowo lengser ganti nya blimbing sayur mulyono bisa bubar","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"rakyat nya damai mahasiswa oyak ngoyak bangsa ini usaha makar jgn peduli ham hrs tembak spt diktator","terjemahkan id ke en: rakyat damai rakyat damai rakyat damai rakyat damai rakyat damai rakyat damai"
"mudah adu dombasedih","adu dombasedih adu dombasedih adu dombasedih adu dombasedih adu dombase"
"banyak ikut2an nggak tuju","terjemahkan id ke en: terjemahkan id ke en:  terjemahkan"
"opo teh kui biar aduh","kui kui kui kui kui kui kui kui kui "
"gw tau mandalika77 komen asli bnrn gacir","a77 alika77 a77a77 a77"
"mandalika77 emang juara puas main cuan alir","ke en: mandalika77 alika77kan id ke"
"makasihh bangeett temeenkuu udah kasih rekomend web andalika77 rungkad web bela"," terjemahkan id ke en:lika77 lika77 "
"terimakasih andalika77 menang super hoki keren percaya dan nyata","77 alika77 a77a77 kan id ke"
"akhir ngerasain nama nya maxwinemang mantap situs percaya andalika77 mayan buatk modal nongkrong temen temen broo","terjemahkan id ke en:kan id ke en:kan id ke en:"
"riwayat kalah ku situs belah cuman situs andalika77 selamat uang ku","terjemahkan id ke en:  terjemahkan id ke en:  "
"mahasewa tarik","terjemahkan id ke en: mahasewa tarik terjemahkan id ke en:"
"mulyono adil","mulyono adil"
"pada mana 10","terjemahkan id ke en: pada mana 10  terjemahkan id ke en:"
"itu sdh hendak alloh",". terjemahkan id ke en: terjemahkan id ke en: terjemah"
"koroptor bayar takut takut hukum mati modar koruptor brjelas balik demo koruptorquot rakyat dukung pemrrintahan prabowo","terjemahkan id ke en:kan id ke en:kan id ke en:"
"sing bener presiden prabowo m",""
"senang perintah parabowo sayang ribu sayang lindung jahat jokowi","jokowi jokowi jokowi jokowi jokowi jokowi"
"pak prabowo dengar rakyat samajokowi rakyat mau adil jokowi","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"maha siswa percaya rakyatjuga untung rakyatberisiikkkbikin macet jalan","terjemahkan id ke en: maha siswa percaya rakyat terjemahkan id ke en:"
"prabowo presiden bela rakyatjangan kau ganggu kerja",".................."
"ini pk prabowo wakil gibran amnsi","terjemahkan id ke en: ini pk prabowo wakil  terjemahkan"
"pk prabowo wakil copot biar gaduh","aja................"
"piye to iki mahasewa bayar piro","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kalau deh tuntut ampas aset gerah sah undang undang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"lanjut repormasi total untuk rakyat lanjut jogja","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"jumakesalahan prabowo akar akar nya rakyat kecewa rantas koruksi pileh bulu pantas rakyatmarah salam aceh","terjemahkan id ke en: juma terjemahkan id ke en: juma"
"orang wakil presiden isi tukar pikir gibran apa2","terjemahkan id ke en: orang wakil presiden terjemahkan id ke en: orang"
"demo deemo turun clanamu ngapain repot repot turunin prab owo","terjemahkan id ke en: demo deemo turunkan id ke en: demo de"
"lengser omon omon terus ologarki pki jokodok","terjemahkan id ke en: lengser omon terjemahkan id ke en"
"yang bilang indonesia gelap salah indonesia indonesia terang","indonesia terang indonesia terang indonesia terang indonesia terang indonesia terang indonesia terang indonesia terang indonesia terang indonesia terang"
"para demostn mbaa as a masyarakat km sg nan g prab","aja mbaa  aja mbaa a"
"kalo jokowi adil gibran mundur negara tetep geger","terjemahkan id ke en:kan id ke en:kan id ke en:"
"bagaimana kepemimpinan2 petugas2 staf2 instan2 perintah petugas2nya tugas individu2 fanatik jujur jalan perintah2 prabowo sengaja cela tentang perintah presiden manipulasi biar modus masyarakat omong kosong dn kecewa kesal krn individu fanatik sistem picik","kan id ke en: bagaimana kepemimpinan2 petugas2 staf2 staf2 staf2 staf2 staf"
"la perintah berantas korupsi maju negara stabil harga bahan pokok maju kualitas tani tolong anggur rakyat mbg anak coba banding perintah sebelumnyaini demo rakyat koruptor","terjemahkan id ke en: la perintah berantas korupsikan id ke en:"
"otak kalo penuh benci dengki doank kerja nye ade aje akal bulus jelekin orang succcess brgerombolan dengki benci tenggelambrwoy presiden dah pilih rskyatbrkalah pilpres muring2 mulu kerje nye","id ke en: id ke en: idkan id ke en: id ke en:"
"yang gelap indonesia tapi masa depan anda yg gelap","terjemahkan id ke en: yang gelap indonesia tapi masa depan anda indonesia tapi masa"
"tuju prabowo omon omon tegascontoh pagar laut mandeg","terjemahkan id ke en: tuju prabowo omon omon omon o"
"sayangbr lemah fokus perintah bangun negara","terjemahkan id ke en: sayangbr lemah fokus perintah bangun negara  terjemahkan"
"turun prabowo otak komunis moga dosa dosa demo keluarga moga adzab allahdan dosa dosa ampun allahamin","allahamin allahamin allahaminamin terjemahkan"
"lupa ampas aset","ampas aset ampas aset ampas aset ampas aset ampas"
"propo kator bikin gaduh nkri","aja        "
"gek jaluk amu kui ndue oresiden sk kepiye bodonanangger ndu presiden podo demo ki athek koe ko podo ointer pinterowong ngurusi keluarga mu we podo ra pecuus kokwing matur mbok yo sk ndarekucapan do aindonesia gelap ki sek endiaku sk enek solo padanag terang bederangnk presiden kon lengser sek koyo ngopo sk arep dadekne oresiden","id ke en:kan id ke en:kan id ke en:kan id"
"yang gelap pikir mahasiswakalau dukung brantas koruptor makan uang rakyat","terjemahkan id ke en: yang gelap pikir mahasiswa terjemahkan id ke en:"
"ini koruptor khawatir sol orabowo bersih bersih koruptor ketangkep bayar mahasewa lengser prabowo","terjemahkan id ke en: ini koruptor khawatir terjemahkan id ke en:"
"demo ora matuk tahun ijazah palsu jokowi tak pernah di demobryang ugm mana semuabrdemo yang imbang donk jangan dongok jadi mahasiswa","aja sih.............."
"revolusi","terjemahkan id ke en: revolusi terjemahkan id ke en: revolusi "
"demo aneh presiden negri demobrapa teroris negri","terjemahkan id ke en: demo aneh presiden negri terjemahkan id ke en"
"demo yng dasar sungguh malu terus pk prabowo","..................."
"makasihh bangeett temeenkuu udah kasih rekomend web 77 rungkad web bela","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"77 gampang menang","menang menang menang menang menang menang menang menang menang menang menang menang menang menang menang menang menang menang menang"
"kita rakyat semuaya mendukungg mahasiwa janan perca omonn 2 kosong manis prabowo bukti nya rakyat sulit ekonomi","aja aja terjemahkan id ke en: terjemahkan id"
"adik mahasiswa harap sabar jgn makan hasut orang benci perintah","terjemahkan id ke en: adik mahasiswa harap sabar terjemahkan id ke en"
"saat prabowo presiden kubu demobrsaat kubu presiden kubu prabowo demobrjadi selesai ini indonesia yg damai","terjemahkan id ke en:kan id ke en:kan id ke en:"
"cie cie kudeta pantesan orgnya buta","aja sih..."
"fahami dulu bijaksana bapak presiden","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"pak presiden jangan gentar maju terus seluruh rakyat dukung langkah bapak presiden","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kenapa perintah jokowi nama nya demo laku sekarang perintah prabowo udah nama demo brjelas politik utk lengser prabowo wakil prabowo duduk posisi prabowo brtragedi ulang gusdur presiden","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"demo anak emak banteng legowo","ahok legowo legowo legowo legowo legowo"
"semangat pprabowo gempur koruptor masarakat urun tenaga doa","pprabowo gempur koruptor pprabowo pprabowo"
"mata kowe iso sekolah pinter soko keringet tua sing dihasilke soko keringet cilik ben kowe ora kerjo ben sekolah bareng pinter keblinger","terjemahkan id ke en:kan id ke en:kan id ke en:"
"kalau gk ikut2an lengser prabowo lengser gibran henti sanjung2 jokowi pidato maksud apaaa kok kes tantang rakyat adil jokowi","lengser jokowi lengserkan id ke en:kan id ke"
"kalau demo nuntut sah uu ampas aset keren butuh negara biar dicuridikorupsi uang negarauang rakyat sesuai curi","terjemahkan id ke en: terjemahkan id ke en:  "
"maha siswa tai","taiwan taiwan taiwan taiwan taiwan "
"negara indonesia susah maju walou gunta ganti persiden tetep aja engga majuankarna indonesia koruptor maling uang rakyat kendal nya coba koruptor hukum mati aman negara","terjemahkan id ke en: terjemahkan id ke en:kankan"
"harus nya prabowo presiden bersih orang2 rusak sistem negara korupsi jujur korup hukum mayi fik indo aman","terjemahkan id ke en: terjemahkan id ke en:kankan"
"trs anis jadi presiden kah ganjar","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"dalang rusuh dunia diy beradakuropsi besar diy","diy diy diy diy diy diy diy diy diy"
"anak papua pil didik gratis drpd makan gratis cerdas","terjemahkan id ke en: anak papuakan id ke en: anak papuakan"
"generasi lansia generasi muda pimpin republik indonesia kompak bernanufer lumpuh akal sehat rakyat satrio paningit kompak bagai lini lapis masyarakat bodoh kuasa kuasa ayo tunjuk","terjemahkan id ke en: generasi lansia generasi lansiakan id ke en: generasi lansia"
"cepat prabowo subianto gibran samsul fufufafa lengser maju tenang negri indonesia","terjemahkan id ke en: cepat indonesia indonesia indonesia indonesia indonesia indonesia indonesia indonesia"
"nan","terjemahkan id ke en: nanangangangkan id ke en:"
"bubar","terjemahkan id ke en: bubar terjemahkan id ke en: bubar "
"idrus marham tau malu mantan napi koruptor sok suci bicara korupsi"," terjemahkan id ke en: idrus marhamtortortor"
"mahasewa suruh pdip","terjemahkan id ke en: mahasewa terjemahkan id ke en: maha"
"satu dapat demi maju kami rakyat miskin indonesia tak usah ribut indonesia yang tidak sehat bicara usul cara tulis kemeja presiden prabowo gibran tanggung jawab","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"pdip orang orang munapikjakowi produk pdip jakowi jdi persiden keyag uang orang2 pdip tau laut aja bagisebntr lgi pagsiun jakowi jelekin2 jakowi","terjemahkan id ke en: pdip orang orang munapikjakowikan"
"habisgelap terbit bubar","terjemahkan id ke en:gelap terbit bubargelap terbit bubar terbit"
"masa macan kalah tikus kadi macan sungguh jgn macan sirkus kt ahok bgtu","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"indonesia gelap kelam tulis batu nisan 20142024dan lahir pimpin muka lugu otak komunisyg hancur tatanan demokrasi hnya langgeng keluarga besar duduk singgasana empuk ganti biar langgengikn anggap sang pelopor jokowibiar nama kiamat ikn buatbiar sanjung dunia jokowi presiden hebatbisa pindah ibukota jakarta kalimantandgn carut marut","id ke en: indonesia gelap kelamkan id ke en: indonesia gelap kelam"
"bapak lohmasalah pemangkasansewaktu pdip pimpin presiden jokowibapak ko protessekarang presiden prabowoorang koar pemangkasanwoy bromaaf sopan2024 mana aja","terjemahkan id ke en: bapak lohkan id ke en: bapak loh"
"idrus nyuara ilc kualitas moral koruptor","aja gak ngerti aja gak ngerti "
"bicara sakit hati jokowi","jokowi jokowi jokowi jokowi jokowi joko"
"didik gratis orang klu gratis karna anak pintar lanjut kuliah karna hambat biaya tolong perintah dn presiden prabowo bantu ortu biaya kuliah sepenuh gratis beasiswa pada dn kurang beban kuliah","terjemahkan id ke en:kan id ke en:kan id ke en:"
"adilin jokowi indonesi terang benerang","jokowi jokowi jokowi jokowi jokowi jokowi"
"akal sehat sabar orang indonesia 85komplong miskin terus glontoran blt nama presidensemoga generasi tumbuh bubar","terjemahkan id ke en:kan id ke en:kan id ke en:"
"yg usung jokowi muncul coba mikirterus kecewa jokowimending zaman orde bang sitoruslihat belakang tulis mobil truk quotenak zaman ku lequot","terjemahkan id ke en: terjemahkan id ke en:kankan"
"up up upa coba bang gacir sltnya ya pantes rame kali comment hahaha","terjemahkan id ke en: up up up up up up up up up up up up"
"orang bikin prokator haya nya komen dukung perintah","nya aja sih... perintah perintah perintah perintah perintah perintah perintah perintah perintah"
"orang salah dalang demo","terjemahkan id ke en: orang salah dalang demo demo demo demo demo demo"
"serang teruuuuuuss","terjemahkan id ke en: seranguuuusssssssssss"
"klo lu kuasa","terjemahkan id ke en: klo lu kuasa kuasa  kuasa klo lu kuasa"
"heeeeeeeee tahee","eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"
"ini gacorquotnya","nya..............nyanya"
"mulut mulyono bisa provokasi perintah prabowo chaos ganti fufufafatentu mayor tedy paham gera selimut mulyono","terjemahkan id ke en:kan id ke en:kan id ke en:"
"mulut mulyono bisa provokasi perintah prabowo chaos ganti fufufafatentu mayor tedy paham gera selimut mulyono","terjemahkan id ke en:kan id ke en:kan id ke en:"
"omon omon sejarah jalan negara uji apaun alam berfikirnya lebaiah rakyat indonesia percaya perintah kecuali sakit hati karna sadar","terjemahkan id ke en: omon omon terjemahkan id ke en:"
"diri propokator tuduh orang waktu bukti","terjemahkan id ke en: diri propokator terjemahkan id ke en: diri"
"kl puan jd tum pdip pecat aja sitorus bikin pdip kacau model2 sitorus tinggal data buang","terjemahkan id ke en:kan id ke en:kan id ke en:"
"dedy sitorus zaman kuasa hukum hukum rusak 100 prabowo gibran","terjemahkan id ke en: dedy sitorus zaman kuasa hukum hukum hukum mati "
"kalau jabat dan presiden anggap tuntut mhsw hanya omon2 mudah2an jadi seperti 98","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"idros mantan koroptor aza hebat jd bicara repoblik inibrmana budaya malu","terjemahkan id ke en: idroskan idroskan idroskan"
"bang karni dh habis nara sumbermantan koruptor msh panggil","aja bang karni aja terjemahkan id ke en:"
"mantan napi koruptor jd gendut hadir jgtinggal nikmat hasil","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"korupsi gelap usut terang benerang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
